On-Prem IT Cloud Simulator for Google Demo Customer
,
Applied Filters
None
,
Card Settings
Physical Host System Cost,"$8,000"
Hardware/ Software Depreciation Term,5 years
Shared Storage Cost/ GB,$6.00
Average Host RAM Cost/ GB,$24.00
vSphere Support,Production
Hypervisor/ELA Discount,15%
Annual License Cost/ VM,$350
Annual License Cost/ Host,"$12,000"
Environmental Costs Excluded,No
Average Watts/ Host,"430"
Cost/ kWh Electricity,$0.105
Cooling to Power Ratio,"1.8"
,
Rightsizing Criteria
If the configuration was at,Peak vCPU and Peak vRAM Usage
Do not resize below CPU and Memory reservations,No
,
Table Data
VM Name,Tags,VM State,Guest OS,VM Cost / Year ($),Compute Cost Portion ($),Storage Cost Portion ($),Adjusted Consumed VM Cost / Year ($),Adjusted Consumed Compute Cost Portion ($),Adjusted Consumed Storage Cost Portion ($),vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vCenter Name,Cluster Name
VM-2183587,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1059,721,338,1059,721,338,2,100,75,51,8.00,100,1689,1632,1059,1949,100.00,demo.google.com,Cluster-c473761
VM-1238299,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),982,712,270,,,270,1,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-1464285,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),876,707,169,,,169,2,,,,2.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-1240930,PoweredOn,Powered Off,FreeBSD (64-bit),775,707,68,,,68,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c862031
VM-2752133,PoweredOn,Powered Off,Ubuntu Linux (64-bit),778,712,66,,,66,2,,,,4.00,,,,,,19.53,demo.google.com,Cluster-c473761
VM-1714904,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),982,712,270,,,270,1,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c344303
VM-123048,PoweredOn,Powered Off,Microsoft Windows Server 2008 (64-bit),1737,791,946,,,946,4,,,,32.00,,,,,,280.00,demo.google.com,Cluster-c473761
VM-606042,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1096,755,341,,,341,4,,,,16.00,,,,,,101.00,demo.google.com,Cluster-c473761
VM-2186374,PoweredOn,Powered On,Red Hat Enterprise Linux 7 (64-bit),1111,773,338,1085,747,338,4,17,4,3,24.00,97,16,0,16,1231,100.00,demo.google.com,Cluster-c473761
VM-2058801,PoweredOn,Powered Off,Microsoft Windows Server 2016 (64-bit),1078,737,341,,,341,4,,,,8.00,,,,,,101.00,demo.google.com,Cluster-c473761
VM-122716,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1439,763,676,1422,746,676,6,53,19,4,12.00,100,1588,1346,1064,1665,200.00,demo.google.com,Cluster-c473761
VM-1053694,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2436,743,1693,,,1693,2,,,,18.00,,,,,,501.00,demo.google.com,Cluster-c473761
VM-122359,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1093,721,372,,,372,2,,,,8.00,,,,,,110.00,demo.google.com,Cluster-c473761
VM-2659409,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1194,721,473,1194,721,473,2,81,60,51,8.00,100,229,9,229,2777,140.00,demo.google.com,Cluster-c473761
VM-212149,PoweredOn,Powered On,Ubuntu Linux (64-bit),998,728,270,980,710,270,4,27,4,3,4.00,80,833,833,21,4480,80.00,demo.google.com,Cluster-c473761
VM-857193,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),14540,721,13819,,,13819,2,,,,8.00,,,,,,4090.48,demo.google.com,Cluster-c473761
VM-29663,PoweredOn,Powered Off,Other Linux (32-bit),698,695,3,,,3,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-140371,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1244,737,507,,,507,4,,,,8.00,,,,,,150.00,demo.google.com,Cluster-c473761
VM-2791618,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1819,755,1064,,,1064,4,,,,16.00,,,,,,315.00,demo.google.com,Cluster-c344303
VM-109678,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1059,721,338,,,338,2,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-3167564,PoweredOn,Powered Off,Other Linux (32-bit),698,695,3,,,3,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-2539196,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),9004,896,8108,,,8108,8,,,,64.00,,,,,,2400.00,demo.google.com,Cluster-c473761
VM-1043050,PoweredOn,Powered Off,Other Linux (32-bit),698,695,3,,,3,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-2753857_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1007,737,270,,,270,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-2521655,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),930,761,169,881,712,169,8,15,4,1,4.00,100,495,482,104,1756,50.00,demo.google.com,Cluster-c473761
VM-491139,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),939,770,169,898,729,169,8,37,11,5,8.00,100,847,613,843,1301,50.00,demo.google.com,Cluster-c473761
VM-123050,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1354,712,642,,,642,1,,,,8.00,,,,,,190.00,demo.google.com,Cluster-c473761
VM-2164267,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1074,737,337,,,337,4,,,,8.00,,,,,,99.87,demo.google.com,Cluster-c862031
VM-2753859,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1007,737,270,,,270,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c862031
VM-122300,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1980,730,1250,,,1250,2,,,,12.00,,,,,,370.00,demo.google.com,Cluster-c473761
VM-603021,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1108,770,338,,,338,8,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c862031
VM-3298352,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),939,770,169,910,741,169,8,52,24,19,8.00,72,1382,1325,1324,1562,50.00,demo.google.com,Cluster-c473761
VM-188810,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1416,737,679,,,679,4,,,,8.00,,,,,,201.00,demo.google.com,Cluster-c473761
VM-122655,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2003 (64-bit),731,697,34,,,34,1,,,,1.00,,,,,,10.00,demo.google.com,Cluster-c473761
VM-2235405,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),906,737,169,,,169,4,,,,8.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-134599,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),834,699,135,,,135,1,,,,2.00,,,,,,40.00,demo.google.com,Cluster-c473761
VM-316838,PoweredOn,Powered Off,Debian GNU/Linux 6 (64-bit),704,697,7,,,7,1,,,,1.00,,,,,,2.00,demo.google.com,Cluster-c473761
VM-2444132,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),881,712,169,,,169,2,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-1764253,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1096,755,341,,,341,4,,,,16.00,,,,,,101.00,demo.google.com,Cluster-c473761
VM-651445,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),969,699,270,,,270,1,,,,2.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-1084859,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1804,824,980,1804,824,980,8,100,14,4,32.00,100,6785,6772,361,1137,290.00,demo.google.com,Cluster-c473761
VM-163500,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1415,739,676,,,676,2,,,,16.00,,,,,,200.00,demo.google.com,Cluster-c473761
VM-3300877,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2150,770,1380,,,1380,8,,,,8.00,,,,,,408.38,demo.google.com,Cluster-c473761
VM-3004731,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1533,854,679,1467,788,679,16,48,9,5,16.00,100,956,956,914,1912,201.00,demo.google.com,Cluster-c473761
VM-3188801,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),872,737,135,872,737,135,4,82,8,7,8.00,100,1332,1286,110,2459,40.00,demo.google.com,Cluster-c473761
VM-125422,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1062,721,341,1062,721,341,2,100,60,3,8.00,100,653,434,653,716,101.00,demo.google.com,Cluster-c473761
VM-841035,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8747,739,8008,,,8008,2,,,,15.99,,,,,,2370.50,demo.google.com,Cluster-c473761
VM-1043082,PoweredOn;PowerOn/Win2008R2,Powered On,Microsoft Windows Server 2008 R2 (64-bit),2737,811,1926,2737,811,1926,8,100,69,55,26.00,100,2263,2085,1156,2661,570.00,demo.google.com,Cluster-c473761
VM-3300551,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),4122,701,3421,4121,700,3421,1,100,97,71,3.00,86,975,810,586,344,1012.53,demo.google.com,Cluster-c473761
VM-2186160,PoweredOn,Powered Off,Microsoft Windows Server 2016 (64-bit),940,737,203,,,203,4,,,,8.00,,,,,,60.00,demo.google.com,Cluster-c473761
VM-383335,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1278,737,541,,,541,4,,,,8.00,,,,,,160.00,demo.google.com,Cluster-c473761
VM-1800798,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1075,737,338,,,338,4,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2644041,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1549,806,743,1541,798,743,8,85,26,17,24.00,100,3297,2283,3297,1689,220.00,demo.google.com,Cluster-c473761
VM-1991523,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),1514,737,777,1514,737,777,4,100,28,16,8.00,100,2741,2733,1426,2439,230.00,demo.google.com,Cluster-c473761
VM-113687,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1315,707,608,,,608,2,,,,2.00,,,,,,180.00,demo.google.com,Cluster-c344303
VM-127072,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1109,737,372,,,372,4,,,,8.00,,,,,,110.00,demo.google.com,Cluster-c473761
VM-1220472,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),881,712,169,,,169,2,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-122309,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1076,772,304,,,304,6,,,,16.00,,,,,,90.00,demo.google.com,Cluster-c473761
VM-515883,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1077,739,338,,,338,2,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c862031
VM-306002,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1464,788,676,,,676,8,,,,16.00,,,,,,200.00,demo.google.com,Cluster-c473761
VM-288636,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1247,737,510,,,510,4,,,,8.00,,,,,,151.00,demo.google.com,Cluster-c473761
VM-3296345,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1246,739,507,1246,739,507,2,100,75,50,16.00,100,1748,1747,940,739,150.00,demo.google.com,Cluster-c473761
VM-1543064,PoweredOn,Powered Off,Debian GNU/Linux 6 (64-bit),702,695,7,,,7,1,,,,0.25,,,,,,2.00,demo.google.com,Cluster-c862031
VM-454929,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1050,712,338,,,338,2,,,,4.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-1518278,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),922,770,152,877,725,152,8,31,10,5,8.00,78,107,104,52,2208,45.00,demo.google.com,Cluster-c473761
VM-427167,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),982,712,270,,,270,2,,,,4.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-718579,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1672,824,848,,,848,8,,,,32.00,,,,,,251.00,demo.google.com,Cluster-c473761
VM-2600452,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1295,957,338,,,338,24,,,,32.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-466101,PoweredOn,Powered Off,FreeBSD (64-bit),775,707,68,,,68,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-641245,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1074,737,337,,,337,4,,,,8.00,,,,,,99.87,demo.google.com,Cluster-c473761
VM-122980,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),802,701,101,,,101,1,,,,3.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-122651,Hadoop;PoweredOn;win2008on;windows_power_on,Powered On,Microsoft Windows Server 2008 (32-bit),1219,712,507,1219,712,507,2,100,25,10,4.00,100,1366,1361,1112,1113,150.00,demo.google.com,Cluster-c473761
VM-160783,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1244,737,507,1236,729,507,4,50,22,3,8.00,100,635,451,629,3619,150.00,demo.google.com,Cluster-c473761
VM-1145593,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1197,758,439,,,439,6,,,,10.00,,,,,,130.00,demo.google.com,Cluster-c472963
VM-3296907,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),890,721,169,889,720,169,2,97,49,2,8.00,98,985,848,980,1472,50.00,demo.google.com,Cluster-c473761
VM-454931,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1050,712,338,,,338,2,,,,4.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-1972858,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),890,755,135,890,755,135,4,100,4,2,16.00,100,999,963,823,1177,40.00,demo.google.com,Cluster-c473761
VM-1295378_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1811,730,1081,,,1081,2,,,,12.00,,,,,,320.00,demo.google.com,Cluster-c472963
VM-775041,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1108,770,338,,,338,8,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c472963
VM-729998,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1479,770,709,1438,729,709,8,27,10,3,8.00,100,894,434,890,306,210.00,demo.google.com,Cluster-c472963
VM-3053071,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1595,737,858,,,858,4,,,,8.00,,,,,,254.00,demo.google.com,Cluster-c473761
VM-3166088,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1300,911,389,,,389,12,,,,56.00,,,,,,115.00,demo.google.com,Cluster-c473761
VM-123047,PoweredOn,Powered Off,Microsoft Windows Server 2008 (64-bit),2701,775,1926,,,1926,2,,,,32.00,,,,,,570.00,demo.google.com,Cluster-c473761
VM-444,PoweredOn,Powered Off,Microsoft Windows Server 2003 Standard (32-bit),1785,704,1081,,,1081,1,,,,4.00,,,,,,320.00,demo.google.com,Cluster-c473761
VM-3298938,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1077,737,340,1069,729,340,4,70,31,7,8.00,100,1903,1613,1899,291,100.50,demo.google.com,Cluster-c473761
VM-123052,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1937,721,1216,,,1216,2,,,,8.00,,,,,,360.00,demo.google.com,Cluster-c473761
VM-1540025,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),17737,863,16874,,,16874,4,,,,64.00,,,,,,4995.00,demo.google.com,Cluster-c862031
VM-2859256,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),902,699,203,,,203,1,,,,2.00,,,,,,60.00,demo.google.com,Cluster-c344303
VM-1385264,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4320,739,3581,,,3581,2,,,,16.00,,,,,,1060.00,demo.google.com,Cluster-c473761
VM-3297554,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),743,701,42,743,701,42,1,100,82,4,3.00,98,1948,1948,6,849,12.50,demo.google.com,Cluster-c473761
VM-2471959,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1016,746,270,,,270,4,,,,12.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-641234,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),11970,791,11179,,,11179,4,,,,32.00,,,,,,3309.00,demo.google.com,Cluster-c473761
VM-1308495,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),913,761,152,,,152,8,,,,4.00,,,,,,45.00,demo.google.com,Cluster-c344303
VM-1233262,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),813,712,101,,,101,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-2635118,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),813,712,101,813,712,101,2,88,63,40,4.00,100,57,7,52,209,30.00,demo.google.com,Cluster-c344303
VM-3292745,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),896,728,168,896,728,168,4,100,17,10,4.00,100,1846,1817,791,9307,49.87,demo.google.com,Cluster-c473761
VM-3054687,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1059,721,338,1059,721,338,2,100,25,3,8.00,100,2144,1646,2038,1610,100.00,demo.google.com,Cluster-c473761
VM-2462345,PoweredOn,Powered Off,Red Hat Enterprise Linux 7 (64-bit),2410,721,1689,,,1689,2,,,,8.00,,,,,,500.00,demo.google.com,Cluster-c473761
VM-454918,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1007,737,270,,,270,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-1429567,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1791,913,878,1791,913,878,10,100,100,100,64.00,100,11494,11065,5367,102,260.00,demo.google.com,Cluster-c344303
VM-2481206,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1016,746,270,,,270,4,,,,12.00,,,,,,80.00,demo.google.com,Cluster-c473761
VM-122719_replica,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1732,752,980,,,980,2,,,,22.00,,,,,,290.00,demo.google.com,Cluster-c344303
VM-122632,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1372,730,642,,,642,2,,,,12.00,,,,,,190.00,demo.google.com,Cluster-c473761
VM-914830,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1059,721,338,,,338,2,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-411074,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4322,775,3547,,,3547,2,,,,32.00,,,,,,1050.00,demo.google.com,Cluster-c473761
VM-2416912,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1075,737,338,,,338,4,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-410221,PoweredOn,Powered On,CentOS 4/5/6/7 (64-bit),800,699,101,800,699,101,1,100,1,0,2.00,93,65,63,39,746,30.00,demo.google.com,Cluster-c473761
VM-1912518,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),817,699,118,,,118,1,,,,2.00,,,,,,35.00,demo.google.com,Cluster-c473761
VM-3097587,PoweredOn,Powered Off,FreeBSD (64-bit),1731,721,1010,,,1010,2,,,,8.00,,,,,,299.00,demo.google.com,Cluster-c473761
VM-316898,PoweredOn,Powered Off,Debian GNU/Linux 6 (64-bit),704,697,7,,,7,1,,,,1.00,,,,,,2.00,demo.google.com,Cluster-c473761
VM-122626,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2040,824,1216,,,1216,8,,,,32.00,,,,,,360.00,demo.google.com,Cluster-c473761
VM-867476,PoweredOn,Powered Off,Ubuntu Linux (64-bit),753,712,41,,,41,2,,,,4.00,,,,,,12.00,demo.google.com,Cluster-c473761
VM-1590940,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),915,712,203,907,704,203,2,14,4,2,4.00,100,57,9,52,1499,60.00,demo.google.com,Cluster-c473761
VM-2727366,PoweredOn,Powered On,Red Hat Enterprise Linux 7 (64-bit),991,721,270,982,712,270,2,28,3,2,8.00,98,66,0,66,1700,80.00,demo.google.com,Cluster-c473761
VM-1818689,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),939,770,169,903,734,169,8,40,9,4,8.00,80,541,540,52,2526,50.00,demo.google.com,Cluster-c473761
VM-473751,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1557,712,845,,,845,2,,,,4.00,,,,,,250.00,demo.google.com,Cluster-c862031
VM-2876287,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),941,721,220,938,718,220,2,100,41,33,8.00,86,886,877,172,1990,65.00,demo.google.com,Cluster-c473761
VM-3213330,PoweredOn,Powered Off,Ubuntu Linux (64-bit),805,737,68,,,68,4,,,,8.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-2163905,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),982,712,270,,,270,2,,,,4.00,,,,,,80.00,demo.google.com,Cluster-c344303
VM-659384,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4423,808,3615,,,3615,6,,,,32.00,,,,,,1070.00,demo.google.com,Cluster-c473761
VM-2957012,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),5062,755,4307,,,4307,4,,,,16.00,,,,,,1275.00,demo.google.com,Cluster-c344303
VM-758114,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),813,712,101,805,704,101,2,18,1,1,4.00,100,44,7,42,328,30.00,demo.google.com,Cluster-c473761
VM-1367553,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),922,770,152,,,152,8,,,,8.00,,,,,,45.00,demo.google.com,Cluster-c344303
VM-1526576,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),881,712,169,,,169,2,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-2163900,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),982,712,270,,,270,2,,,,4.00,,,,,,80.00,demo.google.com,Cluster-c862031
VM-1721309,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),813,712,101,,,101,2,,,,4.00,,,,,,30.00,demo.google.com,Cluster-c473761
VM-2164268,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1007,737,270,,,270,4,,,,8.00,,,,,,80.00,demo.google.com,Cluster-c344303
VM-1540021,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),9132,923,8209,,,8209,8,,,,76.00,,,,,,2430.00,demo.google.com,Cluster-c862031
VM-603018_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1108,770,338,,,338,8,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2466932,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2016 (64-bit),1075,737,338,1067,729,338,4,71,30,27,8.00,100,954,831,914,3301,100.00,demo.google.com,Cluster-c473761
VM-2383901,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1075,737,338,,,338,4,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-2212446,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),2984,788,2196,2984,788,2196,8,100,79,68,16.00,100,7124,2958,7085,1476,650.00,demo.google.com,Cluster-c473761
VM-1800797,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1078,737,341,,,341,4,,,,8.00,,,,,,101.00,demo.google.com,Cluster-c473761
VM-1831094,PoweredOn,Powered Off,FreeBSD (64-bit),775,707,68,,,68,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-122395,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),802,701,101,802,701,101,1,100,22,6,3.00,100,1186,819,1053,2217,30.00,demo.google.com,Cluster-c473761
VM-112147,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),8353,853,7500,,,7500,12,,,,30.00,,,,,,2220.00,demo.google.com,Cluster-c473761
VM-515886_replica,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1077,739,338,,,338,2,,,,16.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-122689,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),817,699,118,,,118,1,,,,2.00,,,,,,35.00,demo.google.com,Cluster-c473761
VM-879748,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1059,721,338,,,338,2,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-1308622,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),922,770,152,,,152,8,,,,8.00,,,,,,45.00,demo.google.com,Cluster-c344303
VM-122709,Hadoop;PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),948,712,236,948,712,236,2,100,55,6,4.00,100,2151,2145,1045,2681,70.00,demo.google.com,Cluster-c473761
VM-1881713,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2003 Standard (32-bit),965,712,253,965,712,253,2,100,38,2,4.00,100,774,620,747,1226,75.01,demo.google.com,Cluster-c473761
VM-789386,PoweredOn,Powered On,Red Hat Enterprise Linux 6 (64-bit),829,761,68,779,711,68,8,16,2,0,4.00,97,1191,1176,608,643,20.00,demo.google.com,Cluster-c473761
VM-1294222,PoweredOn,Powered Off,Other Linux (32-bit),698,695,3,,,3,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-6066,PoweredOn,Powered Off,Other Linux (32-bit),698,695,3,,,3,1,,,,0.13,,,,,,1.00,demo.google.com,Cluster-c473761
VM-1780999,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1075,737,338,,,338,4,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-424801,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3910,863,3047,,,3047,4,,,,64.00,,,,,,902.00,demo.google.com,Cluster-c473761
