AWS to GCP Cloud Migration Simulator for Google Demo Customer
,
Applied Filters
AWS Instance Match Filter,All Matched AWS Instances
,
Card Settings
GCP Location,United States
Storage Type,Zonal
Storage Media,Optimal
Instance CPU,Intel Based
Match to standard instances only,No
Exclude E2 instances,Yes
Include Sole Tenant Nodes,Yes
Allow Oversubscription,Yes
BYO Microsoft Licenses,Yes
Exclude Live Migration Nodes,No
Allow Desktop OS/MSDN,No
Term Length,1 Year
Instance Class,Regular
BYO Linux Licenses,No
,
Rightsizing Criteria
Rightsize AWS Instances using,AWS Instance as Configured
,
Table Data
AWS Instance Name,Tags,AWS Instance State,AWS Instance,AWS Instance OS,GCP Instance Cost / Year ($),Instance Cost Portion ($),Sole Tenant Node Cost Portion ($),GPU Cost Portion ($),OS Cost Portion ($),Storage Cost Portion ($),GCP Instance,GCP Instance vCPU,GCP Instance vRAM (GB),Sole Tenant Node,GCP GPU,Storage Media,vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),Peak Reads,Peak Writes,vDisk Capacity (GB)
i-9b51c61567b249c86,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,3,0,0,7.50,,,60.00
i-9e3e228ac9ae93441,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,311,262,0,0,0,49,n1-standard-1,1,3.75,,0,SSD,1,14,13,12,3.75,,,24.00
i-9f41792a4381b62af,Canditate;gcp-candidate;m3largepower;pa;production,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,9,2,1,7.50,,,40.00
i-a4bca479,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,268,262,0,0,0,6,n1-standard-1,1,3.75,,0,HDD,1,97,20,9,3.75,,,12.00
i-96fc35ff29458ebab,Canditate;gcp-candidate;pa;production,Powered On,m4.large,,552,536,0,0,0,16,n2-standard-2,2,8.00,,0,SSD,2,17,8,4,8.00,,,8.00
i-2cce4ed1,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,66,24,8,3.75,,,12.00
i-01ce4ef4,Canditate;gcp-candidate;pa;production;ssd,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,8,4,3,3.75,,,12.00
i-00ce4ef5,Canditate;gcp-candidate;pa;production;ssd,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,72,22,8,3.75,,,12.00
i-90f51c1cc9b224312,Canditate;gcp-candidate;pa;production,Powered On,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,17,10,8,1.70,,,168.00
i-9d69e2f336faca59f,Canditate;gcp-candidate;pa;production,Powered On,m1.large,,2258,524,0,0,0,1734,n1-standard-2,2,7.50,,0,SSD,2,83,77,74,7.50,,,850.00
i-90af9f9fc2c8f6ee1,Canditate;gcp-candidate;pa;production,Powered On,m1.large,,2258,524,0,0,0,1734,n1-standard-2,2,7.50,,0,SSD,2,91,85,82,7.50,,,850.00
i-9a20cb29089b93290,Canditate;gcp-candidate;pa;production,Powered On,m1.large,,2258,524,0,0,0,1734,n1-standard-2,2,7.50,,0,SSD,2,86,78,75,7.50,,,850.00
i-916b15c461a0710e1,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,16,2,0,7.50,,,60.00
i-bfb3a509,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,286,262,0,0,0,24,n1-standard-1,1,3.75,,0,SSD,1,96,9,8,3.75,,,12.00
i-9d609ff66e9f8c7a3,Canditate;gcp-candidate;pa;production,Powered On,m4.large,,552,536,0,0,0,16,n2-standard-2,2,8.00,,0,SSD,2,20,11,11,8.00,,,8.00
i-e9ab8597,Canditate;gcp-candidate;pa;production,Powered On,m3.medium,,275,262,0,0,0,13,n1-standard-1,1,3.75,,0,HDD,1,10,1,1,3.75,,,28.00
i-915153ee67caaeffe,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,21,5,0,7.50,,,60.00
i-0e06e64d,Canditate;gcp-candidate;pa;production,Powered On,t2.small,,237,221,0,0,0,16,n1-custom,1,2.00,,0,SSD,1,8,0,0,2.00,,,8.00
i-dfe4eb5c,Canditate;gcp-candidate;pa;production,Powered On,r3.large,,2851,705,0,0,0,2146,n2-custom,2,15.25,,0,SSD,2,64,51,45,15.25,,,1052.00
i-92e700d6,Canditate;gcp-candidate;m3largepower;pa;production,Powered On,m3.large,,606,524,0,0,0,82,n1-standard-2,2,7.50,,0,SSD,2,27,2,1,7.50,,,40.00
i-9e6f63fe0765f7c04,Canditate;gcp-candidate;pa;production,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,98,92,76,15.00,,,88.00
i-2a2056a9,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,48,25,14,3.75,,,40.00
i-93901e36342189925,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,3,0,0,7.50,,,60.00
i-95ac5e4ff4b5e9106,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,55,54,51,30.50,,,90.00
i-940ae76a800fc6c42,Canditate;gcp-candidate;pa;production,Powered On,m3.xlarge,,1163,1049,0,0,0,114,n1-standard-4,4,15.00,,0,HDD,4,95,84,70,15.00,,,238.00
i-98db2ce2a5a8c5d13,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,,,,7.50,,,60.00
i-9169885caa2065629,Canditate;gcp-candidate;pa;production,Powered On,m3.xlarge,,1163,1049,0,0,0,114,n1-standard-4,4,15.00,,0,HDD,4,89,80,70,15.00,,,238.00
i-dfd0edd7,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.large,,519,437,0,0,0,82,n2-custom,2,3.75,,0,SSD,2,45,23,13,3.75,,,40.00
i-98549863bfaf05e06,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,3,0,0,7.50,,,60.00
i-4c3b988d,Canditate;gcp-candidate;pa;production,Powered On,m3.xlarge,,1237,1049,0,0,0,188,n1-standard-4,4,15.00,,0,SSD,4,91,71,64,15.00,,,92.00
i-75189d1c,Canditate;gcp-candidate;pa;production,Powered On,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,97,88,69,15.00,,,88.00
i-949702ccc0dd1df97,c3on;Canditate;gcp-candidate;ibm1;pa;production,Powered On,c3.xlarge,,1057,873,0,0,0,184,n2-custom,4,7.50,,0,SSD,4,20,18,16,7.50,,,90.00
i-9fc94f61bc1f02223,Canditate;gcp-candidate;pa;production,Powered On,c4.xlarge,,995,873,0,0,0,122,n2-custom,4,7.50,,0,SSD,4,3,0,0,7.50,,,60.00
i-987a958cda081be31,Canditate;gcp-candidate;pa;production,Powered On,r3.xlarge,,1595,1411,0,0,0,184,n2-custom,4,30.50,,0,SSD,4,100,100,100,30.50,,,90.00
i-920ebb853dfb08e01,Canditate;gcp-candidate,Powered Off,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,,,,1.70,,,168.00
i-628e085a,Canditate,Powered Off,c1.medium,,1138,391,0,0,0,747,n1-highcpu-2,2,1.80,,0,SSD,2,,,,1.70,,,366.00
i-a0ae670f,Canditate;gcp-candidate,Powered Off,m1.small,,558,215,0,0,0,343,n1-custom,1,1.75,,0,SSD,1,,,,1.70,,,168.00
i-f2ad3515,Canditate;gcp-candidate,Powered Off,m3.xlarge,,1229,1049,0,0,0,180,n1-standard-4,4,15.00,,0,SSD,4,,,,15.00,,,88.00
i-192571b6,Canditate,Powered Off,m3.2xlarge,,2440,2097,0,0,0,343,n1-standard-8,8,30.00,,0,SSD,8,,,,30.00,,,168.00
